Year,State_Name,County_Name,State_ID,County_ID,Per_Capita_Exp_ESRD,Avg_Risk_Score_ESRD,Person_Years_ESRD,Per_Capita_Exp_DIS,Avg_Risk_Score_DIS,Person_Years_DIS,Per_Capita_Exp_AGDU,Avg_Risk_Score_AGDU,Person_Years_AGDU,Per_Capita_Exp_AGND,Avg_Risk_Score_AGND,Person_Years_AGND
2020,Alabama,Autauga,1,0,77692.96,0.95521,41,8149.79,0.88001,553.17,16703.43,0.83195,107.25,9038.9,1.02829,3030.75
2020,Alabama,Baldwin,1,10,75986.12,1.01323,120.42,8531.83,0.93966,1911.58,18587.43,0.99473,536.75,9408.41,1.00571,18726.75
2020,Alabama,Barbour,1,20,79778.42,0.96487,57.5,8959.65,0.90057,400.33,16552.44,0.94289,244,8540.23,0.99493,1662.92
2020,Alabama,Bibb,1,30,83055.19,0.9782,25.33,9393.74,0.93558,399.08,17438.28,0.98111,173,9100.53,1.07913,1003.75
2020,Alabama,Blount,1,40,78633.75,1.02934,25.75,8384.22,0.90062,588.92,14539.66,0.87203,221.75,10143.36,1.06303,3070.25
2020,Alabama,Bullock,1,50,70068.41,1.0573,18.83,6321.65,0.71941,131.5,13747.82,0.83248,97.75,7074.94,0.95362,331.5
2020,Alabama,Butler,1,60,93193.75,0.95626,40.75,10082.21,0.83846,459.33,13468.43,0.85385,284.92,8838.34,1.07292,1387.33
2020,Alabama,Calhoun,1,70,76668.36,0.97103,143.33,8910.08,0.90435,2413.58,15630.37,0.9451,774.42,9833.91,1.09146,9480.67
2020,Alabama,Chambers,1,80,71008.41,0.95024,62.25,8183.7,0.87936,774.75,13684.65,0.94091,399,8918.97,1.0737,2280.83
2020,Alabama,Cherokee,1,90,71790.79,0.9481,44.42,9514.11,0.84603,616.75,15925.65,0.94017,263.5,10333.63,1.06701,2212.08
2020,Alabama,Chilton,1,100,75288.75,1.03915,27.33,10815.62,0.98766,448.08,13445.41,0.88155,143,10463.39,1.03532,2099.25
2020,Alabama,Choctaw,1,110,74313.75,0.96961,27.83,8925.58,0.76361,506.92,13542.37,0.85547,291.58,8973.87,1.02558,1304.42
2020,Alabama,Clarke,1,120,60326.67,1.00153,38.92,8314.96,0.82545,453.17,13895.21,0.84993,192.08,10164.21,1.01095,1504.58
2020,Alabama,Clay,1,130,69900.61,1.01188,16.08,9233.92,0.81933,303.08,14560.96,0.89552,187.33,8481.25,0.96725,1147.92
2020,Alabama,Cleburne,1,140,92751.19,1.0377,19.58,8216.74,0.85825,333.5,17930.68,0.92857,180.5,8815.52,1.03565,1302.58
2020,Alabama,Coffee,1,150,68939.88,0.97756,46.08,9258.73,0.95563,760.42,15837.04,0.94424,413.08,9018.75,1.06951,4228.58
2020,Alabama,Colbert,1,160,65294.05,0.98721,55.58,10091.51,0.95235,1133.42,17130.88,0.9292,465.33,9225.06,1.03544,5301.33
2020,Alabama,Conecuh,1,170,79496.37,0.94508,29.75,7336.58,0.77092,468.5,12873.69,0.84183,255.42,9224.6,0.99491,989.25
2020,Alabama,Coosa,1,180,99321.65,0.93519,15.92,7153.97,0.82892,233.42,10462.87,0.79239,64.83,10131.6,1.08437,758.83
2020,Alabama,Covington,1,190,91492.36,1.11748,51.17,11423.02,1.00396,885.08,16385.26,1.01091,629.42,9598.93,1.12636,3421.58
2020,Alabama,Crenshaw,1,200,66923.57,0.81786,16.33,8675.38,0.91247,205.08,16547.27,0.78826,156.08,9204.23,1.05848,829.17
2020,Alabama,Cullman,1,210,74030.43,0.96167,56.83,10272.28,0.94312,1151.08,16395.67,0.91459,590.5,9357.38,1.04154,6517.08
2020,Alabama,Dale,1,220,69800.82,0.97143,44.58,9341.25,0.8935,865.25,16770.43,0.9377,350.83,9921.02,1.0923,3682.92
2020,Alabama,Dallas,1,230,70450.33,0.96069,101,10309.75,0.92445,810.5,15141.11,0.88859,565.42,8298.82,1.03627,1781
2020,Alabama,DeKalb,1,240,64841.06,0.97235,59.92,8736.85,0.86598,1384.25,13629.12,0.88655,734.75,9244.72,1.02115,5120
