Income_2019,Income_2020,Percent_Change_2020,Per_Capita_Exp_ESRD,Avg_Risk_Score_ESRD,Person_Years_ESRD,Per_Capita_Exp_DIS,Avg_Risk_Score_DIS,Person_Years_DIS,Per_Capita_Exp_AGDU,Avg_Risk_Score_AGDU,Person_Years_AGDU,Per_Capita_Exp_AGND,Avg_Risk_Score_AGND,Person_Years_AGND
"42,846","45,248",5.6,66611.56,0.97663,53.42,8762.86,0.90771,655.33,16055.85,0.91544,137.83,9748.79,1.0504,3211.08
"48,380","51,348",6.1,72568.96,0.94706,125.33,9378.34,0.92099,2153.42,17998.02,0.97261,612.67,9920.69,1.00548,19216.42
"34,870","37,120",6.5,66633.41,0.93223,58.67,10113.14,0.93158,532.08,15522.02,0.81495,320.92,9821.2,0.97511,1783
"31,800","34,598",8.8,89143.8,1.00065,27.33,9832.05,0.91855,457.5,15064.04,0.96091,196.08,10164.09,1.09076,1038
"36,542","38,351",5.0,75799.15,0.9148,33.25,9143.62,0.86066,725.92,16590.76,0.86799,243.33,10873.38,1.0453,3254.58
"27,192","30,429",11.9,63098.78,0.93323,19,5339.21,0.89136,159.92,12985.21,0.82465,114.42,10116.41,1.0329,389.58
"39,254","41,151",4.8,70833.61,0.98818,49.33,10258.86,0.88587,531.58,14905.85,0.85059,321.33,10182.48,1.08032,1417.5
"36,869","39,546",7.3,82617.62,0.99048,151.92,9386.26,0.91118,3063.5,15269.33,0.91456,1013.17,10471.45,1.06899,10196.33
"33,682","36,299",7.8,82589.76,0.94426,67.5,7948.03,0.88926,1008.92,13424.36,0.95003,522.33,9043.92,1.07893,2570.25
"37,751","39,416",4.4,72473.29,0.98825,45,10105,0.93006,707.08,17137.85,0.92477,303.08,10857.01,1.06947,2291.5
"36,195","38,551",6.5,88337.3,0.90709,28,12249.16,0.95322,513.58,14116.39,0.88692,169.17,11217.15,1.0156,2142.5
"38,651","41,413",7.1,83788.97,0.87119,32.33,8613.89,0.78859,643,13349.14,0.80026,358,10534.43,0.99526,1399.25
"37,426","41,862",11.9,69256.9,0.9619,42.25,8255.04,0.78371,564.75,15710.18,0.83155,256.75,10228.63,1.00924,1665.08
"32,059","34,660",8.1,72622.71,0.97123,15.17,8208.45,0.79367,378.58,14599.19,0.89418,217.25,8687.55,0.98316,1219.67
"35,819","37,670",5.2,104854.09,0.95221,15,9297.82,0.91431,412.5,21056.22,0.88398,205.83,9809.86,1.01862,1408.25
"43,164","45,466",5.3,68373.34,0.99273,52,9379.65,0.94121,920.58,13980.41,0.92351,486.25,9984.3,1.04933,4492.75
"37,912","41,088",8.4,71077.6,0.9801,70.75,10923.42,0.91916,1410,17368.39,0.93391,580.17,9820.75,1.02674,5695.58
"34,183","37,887",10.8,68870.12,0.9047,29,8596.86,0.80698,572.42,15001.89,0.8335,300.5,10035.12,1.04777,1103.17
"33,311","35,542",6.7,102939.27,0.96558,15.83,8160.14,0.82778,273.33,12711.6,0.76492,87.92,10804.93,1.10789,816.75
"35,472","37,777",6.5,97862.84,1.06649,56.08,11227.81,1.02139,1161,16286.43,0.95196,736,10893.15,1.11373,3764.33
"37,965","39,921",5.2,74165.04,0.89709,20.5,9226.37,0.91827,265.17,12886.3,0.80262,173.33,10614.96,1.05753,873.08
"40,047","41,925",4.7,78621.47,0.93118,61.33,10221.3,0.94082,1418.25,16631.05,0.876,675.83,10112.22,1.02835,7040.25
"37,574","40,032",6.5,76570.22,1.01147,45.67,10051.83,0.90069,1046.58,14111.13,0.92601,431.17,10399,1.06804,3917.75
"35,069","38,762",10.5,72703.9,0.94573,132.58,7966.16,0.89871,1036.5,14273.63,0.89774,667.58,8864.61,1.02407,2035.08
"33,015","34,999",6.0,81798.88,0.97765,57.08,8937.73,0.85576,1644.5,13481.85,0.8963,883.75,9395.01,1.01479,5524.33
"42,234","44,683",5.8,72183.77,0.92678,63.67,9488.14,0.83178,992.83,16969.54,0.97668,278,9573.4,1.01066,5327.33
"33,325","36,134",8.4,78038.17,0.97342,48.08,10192.23,0.9391,770.5,18221.9,0.94946,366.42,11714.74,1.08147,2837.75
"37,407","39,795",6.4,72804.46,1.01802,133.92,10716.06,0.97617,2651.75,16739.06,1.00513,991.42,11501.78,1.11997,7010.33
"35,733","37,852",5.9,86418.43,0.99983,19.58,10652.14,0.92596,653.58,16052.19,0.98265,377.67,9645.5,1.07007,1791.08
"34,382","37,151",8.1,74050.42,1.02043,18.92,9415.27,0.89666,852.83,16183.36,0.85047,463.5,9614.48,1.00133,2648.25
"36,154","38,132",5.5,91074.73,0.99255,20.58,9581.1,0.88432,724.25,15065.99,0.92906,403,9683.3,1.03329,2490.67
"33,294","36,851",10.7,65978.75,0.93765,24.92,8591.54,0.82052,360.92,12559.66,0.83148,224.75,9754.77,1.04118,532.08
"37,619","40,633",8.0,76221.47,0.9509,31.33,8226.73,0.85561,806.67,15129.18,0.87912,408.17,10256.31,1.03818,1073.75
"44,657","46,518",4.2,84387.71,0.96916,21.83,8470.28,0.84629,360.83,13453.6,0.98167,209,9184.33,0.97754,1542.58
